Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,OrderInfo,BinaryFile,,,,,,,,,
U106,1,MC6850,,,,Package_DIP:DIP-24_W15.24mm_Socket,http://pdf.datasheetcatalog.com/datasheet/motorola/MC6850.pdf,https://www.jameco.com/z/6850-Major-Brands-IC-6850-Asynchronous-Communications-Interface-Adapter-24-pin-DIP_43633.html,,,,,,,,,,
"U107,U109,U110,U111,U112,U113",6,74HCT574,,Excluded from BOM,,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HCT574,https://www.digikey.com/en/products/detail/texas-instruments/CD74HCT574E/38721,,,,,,,,,,
U108,1,74HCT541,,Excluded from BOM,,Package_DIP:DIP-20_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HCT541,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT541N/277265,,,,,,,,,,
Y1,1,4MHz/30pF,,,,Crystal:Crystal_HC49-U_Horizontal,~,https://www.digikey.com/en/products/detail/yic/4M20P2-49US/15648615,,,,,,,,,,
Y2,1,1.8432MHz/30pF,,,,Crystal:Crystal_HC49-U_Horizontal,~,https://www.digikey.com/en/products/detail/cts-frequency-controls/MP020S/67643,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,1,Package_DIP:DIP-8_W7.62mm,,,,,,https://www.digikey.com/en/products/detail/assmann-wsw-components/A-08-LC-TT/821740,,,,,,,,,,
,47,Package_DIP:DIP-14_W7.62mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED14DT/4147595,,,,,,,,,,
,21,Package_DIP:DIP-16_W7.62mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED16DT/4147596,,,,,,,,,,
,35,Package_DIP:DIP-20_W7.62mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED20DT/4147598,,,,,,,,,,
,1,Package_DIP:DIP-24_W7.62mm_Socket,,,,,,https://www.digikey.com/en/products/detail/assmann-wsw-components/A-24-LC-7-T/1628667,,,,,,,,,,
,3,Package_DIP:DIP-24_W15.24mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED24DT/4147601,,,,,,,,,,
,2,Package_DIP:DIP-28_W15.24mm,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED28DT/4147602,,,,,,,,,,
,3,Package_DIP:DIP-32_W15.24mm_Socket,,,,,,https://www.digikey.com/en/products/detail/on-shore-technology-inc/ED32DT/4147603,,,,,,,,,,
